成员介绍	member introduction
高清翡翠台首播時間	HD Emerald Channel premiere time
國內生產總值購買力平價數據排名	GDP PPP data ranking
五代	five generations
拼音码	pinyin code
國內生產總值數據排名	GDP data ranking
擅长作品类型	type of work
總人口數據	total population data
無線電視供應商	wireless TV provider
获奖	Award
頻道圖片名稱	channel art name
官員任期	Officer tenure
皇宮	Royal Palace
收錄時間	Collection time
早於	Earlier than
图片简介	Introduction to pictures
網頁	Web page
國家憲法	national constitution
电话区号	Phone area code
武功	martial arts
統計日期	Statistics date
播放地區	Play area
生肖	Chinese Zodiac
湖泊照片标题	lake photo caption
人均国内生产总值购买力平价数据	GDP per capita PPP data
作畫監督	painting supervision
议会	parliament
數字	number
立世子	Li Shizi
国歌	National anthem
密度	density
現任下議院立法首腦名字	Name of the current head of the House of Commons Legislative
國家	nation
1blankname	1blankname
方言	dialect
英文名称	English name
湖邊城鎮	lake town
市徽	City Emblem
庶女	Concubine
著名角色	famous characters
縣級行政區	county-level administrative region
姓名	Name
副首長職銜二	Deputy Chief Title II
營運	Operation
图片	picture
规划总里程	total planned mileage
中共机构名称	CCP organization name
人类发展指数等级	Human Development Index Rating
視頻格式	Video format
电影	Movie
和暦在位期間	He Kun's reign
現任司法首腦名字	The name of the current head of the judiciary
經歷	experience
其他譯名	other translations
总部	headquarters
英文名稱	English name
现任成员	current member
拍攝日期	shooting date
1y	1y
统计时间	Statistics Time
所在	where
校徽說明	School badge description
相关团体	Related groups
子类	Subclass
月台数目	Number of platforms
7下一節目	7 next show
舰首	bow
台灣片名	Taiwan movie title
本科生	Undergraduate
亲属	relatives
發動機	engine
設計公司	design company
交付金算定基準	Payment calculation basis
難民人數	Number of refugees
頻率	frequency
庶妃	Concubine
所屬國家或地區	country or region
安葬地点	place of burial
乳名	nickname
5上一節目	5 Previous show
發行商	Publisher
身長	height
圖像大小	image size
代理	acting
前身	predecessor
市镇代码	town code
作詞	write lyrics
電影	Movie
同胞姊妹	siblings
代表圖像名稱	represents the image name
市旗图	city ​​flag illustration
名稱	name
諡號	posthumous title
频道	channel
末任在位	last in office
代表作品	representative work
注释	Notes
太空船名称	spaceship name
現任指揮官	current commander
none 首播時間	none premiere time
通稱	common name
播放開始	Play starts
中國大陸名稱	Mainland China name
季数	season
起點	starting point
區章	District Chapter
簽名尺寸	Signature size
地圖圖檔	map file
主唱	lead singer
行政區名稱	Administrative district name
巻数	number of volumes
最大著陸重量	maximum landing weight
4blankname	4blankname
樂器西班牙文名稱	Spanish name of musical instrument
相關	related
色彩設計	color design
共和国成立日	Republic Day
对齐方式	Alignment
谥号	posthumous title
頭銜	title
御名	Royal name
索福瑞	Sofrey
翼展	span
泰国地图	Thailand map
出生	born
來自	from
所屬路線	own route
标题字体颜色	title font color
最大行政區名稱	Name of the largest administrative district
教區	parish
國旗文件名	flag file name
图钉描述	Pushpin description
第二尚氏代數	Second Shang's Algebra
hdi年份	hdi year
海外推出國家	Overseas launch countries
主办	host
血型	blood type
издательство	издательство
法律体系	Legal System
近月点	Peri Moon
ntv 首播日期	ntv premiere date
正冊封使	canonized ambassador
之後	after
ссылка часть	ссылка часть
人口年	population year
月球轨道时间	lunar orbit time
片名	film title
代表图像	representative image
庶母	Concubine
現任政府代表名字	Name of current government representative
人類發展指數等級	Human Development Index Rating
粉絲名稱	fan name
公布	announced
終了日	the end of the day
届数	Number of sessions
夫之父	father of husband
时期	period
拥有人	owner
駐地	station
發行	issued
2p	2p
同時段節目	Simultaneous program
3電視台	3TV
國家通稱	Country name
嗜好	hobby
其它线	other lines
州格言	state motto
電視網商標名稱	TV network brand name
晚于	later than
頻道名稱	channel name
道路通行方向	road direction
有線電視供應商	cable provider
政党	political party
收視份額調查時間	Viewership share survey time
人均gdp	GDP per capita
摄影	photography
庙號	Temple number
副首長姓名二	Deputy Chief's Name 2
貴人	noble
死因	cause of death
政治制度三	political system three
官方網站	Official website
组织法规	Organizational Regulations
人口统计年份	Demographic year
作戰半徑	combat radius
枚數	number of pieces
陵墓	tomb
立國日期	date of founding
旗下數位頻道	its digital channels
長度	length
selenium μg	selenium μg
流入	inflow
外部連結	external link
國旗	national flag
中文劇名	Chinese drama title
宸妃	Concubine Chen
國家格言	national motto
撮影監督	photography supervisor
分封者	Packer
校庆日	school day
ссылка	ссылка
最近頒發	recently issued
品階	grade
台灣人口總名次	Taiwan's total population
5電視台	5TV
元配之父	Father of Yuan Pei
县城人口	County population
8频道首播日期	Channel 8 premiere date
灭亡原因	cause of death
黨報	party newspaper
表格列數	number of table columns
双打最高排名	Highest ranking in doubles
3pattern	3pattern
最大起飛重量	maximum takeoff weight
養母	foster mother
謚号	posthumous title
其他领袖一	other leaders
直王子	straight prince
国家政权	state power
发车时间	Departure time
養子	adopted son
網路	network
設立時間	Set up time
子女	child
纹章	coat of arms
國旗條目名稱	flag entry name
青年组织	youth organization
年度預算額	annual budget
заглавие	заглавие
行政機關所在地	The seat of the administrative agency
放送形式	Delivery form
汗號	Khan
國內生產總值購買力平價數據	GDP PPP data
開始号	start number
3播放檔次	3 Play grades
回洛杉磯的原因	Reasons to go back to Los Angeles
大喪儀	funeral
格言	motto
填詞	fill in words
城市名称	city ​​name
製片	film
董事會主持者	board chair
央视收视	CCTV ratings
网络	network
双打冠军头衔	doubles title
坐标经度分	Coordinate longitude minutes
王妃	princess
國號	country number
台繁	Taifan
籍贯	Hometown
地圖檔名	map file name
任務編組	Task grouping
高清翡翠台首播日期	HD Emerald Channel Premiere Date
5播放檔次	5 playback grades
人类发展指数排名	Human Development Index Ranking
日期格式	date format
時代	era
结束	Finish
总资产	Total assets
昵称	Nick name
郵政簡稱	Post abbreviation
教授	professor
現役軍人數排名	Active duty ranks
行政區名稱 象徵	District name Symbol
主管官员	competent officer
1option link	1option link
摄像	camera
党徽文件名	Party emblem file name
大韓代數	Korean Algebra
9播放檔次	9 Play grades
尊號	Honorable Mention
中央	central
夏时制	daylight saving time
届次	Session
党歌	party song
周收视率	Weekly ratings
党报	party newspaper
7節目名稱	7 Program name
海岸线	coastline
標題	title
瑞典文名	Swedish name
县长	county magistrate
企畫	planning
命名年月日	name date
東南	southeast
其他领袖职称三	Other leadership titles
其他名號	other names
所在纬度	Latitude
车站位置	Station location
任期始	start of term
每集長度	length of each episode
4電視台	4TV
数据来源	Data Sources
湖泊長度	lake length
前綴尊稱	Prefix
分鏡	Storyboard
其他首腦三	other head three
gdp全国百分比	gdp national percentage
郵遞區號	Postal code
海外首播時間	Overseas premiere time
放送開始	Broadcast starts
截止	deadline
前一站	previous stop
奖金	bonus
婚姻名份	marital status
製片人	Producer
副首長職銜	Deputy Chief Title
加入年份	year of joining
国名	Country names
球队颜色	team colors
位置圖	Location Map
周邊界面	Peripheral interface
周收視率	Weekly ratings
配樂	soundtrack
黨籍	Party membership
主要節日	major festivals
立国事件日期	founding event date
英文州名	English state name
暱名	nickname
其他领袖职称一	Other leadership titles
集水區面積	catchment area
失業率	unemployment rate
参考	refer to
2節目名稱	2 Program name
得獎	winning
結束	Finish
後一站距離	next stop distance
湖中島嶼	island in lake
軍費	military spending
活跃年代	Active age
其他藝名	other stage names
翼面積	wing area
合併自	merged from
种族	Race
距離	distance
電話編碼	phone code
開発元	Kaiyuan
舊寫	old writing
姊妹	sisters
单打最高排名	Highest singles ranking
結束時區	end time zone
湖泊照片標題	lake photo caption
省名	province name
主题音樂	theme music
备注	Remark
面积	area
1p	1p
影片發行	film distribution
格式	Format
ntv 首播时间	ntv premiere time
庙号	Temple number
淨資產	Net assets
人类发展指数年份	Human Development Index Year
加冕日期	coronation date
國家首都名稱	country capital name
建成区面积	Built-up area
國家元首職稱	title of head of state
电视台	TV station
湖泊名稱	lake name
首席部长	chief minister
开国君主	founding monarch
名称	name
副校長	Vice-Chancellor
陆繁	Lu Fan
原名	original name
音樂劇	musical
2電視台	2 TV
州歌	state song
同时段节目	Simultaneous program
票房	box office
廟號	Temple number
死亡地	place of death
考試首腦職稱	Exam head title
郡連結	County Link
集數	Episode
1option name	1option name
人口	population
現任其他首腦名字二	Names of other current leaders
最大速度	Maximum speed
区划	Division
連載結束	Serialization ends
其他才藝	Other talents
副首長二姓名二	Deputy Chief 2 Name 2
任务名称	mission name
所屬國家	country of origin
封號	title
話数	number of words
行政區別	Administrative distinction
侧式站台	side platform
下一節目	next show
相關樂器	related musical instruments
英文節目名	English program name
市長	mayor
党员人数	number of party members
電視劇代表作	TV show
编号项目	numbered item
坐标经度	Coordinate longitude
球队历史	team history
位階	rank
其他领袖职称二	Other leadership titles
規模	scale
繼子	step son
演奏樂器	Musical instrument
副首長二姓名	Deputy Chief Second Name
系列構成	Series composition
季數	season
臺灣人口總名次	Taiwan's total population
現任監察首腦名字	The name of the current supervisor
總人口名次	total population
電視劇	TV drama
國内生產值值估计年份	Year of Estimated GDP
历法	calendar
初名	first name
海拔高度	Altitude
宗教信仰	religious belief
拼音	Pinyin
機構成員	Institutional members
分類	Classification
註冊名稱	registered name
汽车牌号	car number
政治制度	policy
相關團體	Related groups
人均國内生產總值數據排名	GDP per capita data ranking
省区市	Provinces and cities
繼母	stepmom
人口佔全国	population of the country
行政区类型	Administrative area type
創立日期	Date of creation
史书记载	historical records
頒授資格	Qualification
党团类型	caucus type
7上一節目	7 Previous show
國歌	National anthem
首長姓名	Chief's name
開國君主	founding monarch
長官	sir
政府网站	government website
人均gdp排名	GDP per capita ranking
政權	regime
音域	range
家庭成員	family member
集数	Episode
中国大陆名称	Mainland China name
制作公司	Production Company
出生年	birth year
測深圖標題	sounding chart title
欧洲组织	European organization
前集	first episode
车站类型	station type
著作	book
上一節目	previous show
片長	Length
国徽文件名	National emblem file name
建立事件	build event
頻道圖片	channel art
頻道圖片檔案	channel art archive
副秘書長職銜	Deputy Secretary-General title
興趣嗜好	hobbies
衛星電視供應商	satellite TV provider
开通运营	Open for operation
性別	gender
逝世地點	place of death
代表圖像	representative image
族名	family name
坐标纬度	Coordinate latitude
創校	founding
国籍	Country of Citizenship
编码	coding
子项	child
墳墓	grave
城市图片	city ​​pictures
改名	rename
组织	organize
尺寸	size
6電視台	6 TV stations
副秘書長姓名二	Deputy Secretary-General's name 2
地圖說明	map description
綽號	nickname
配樂作曲	soundtrack composition
啟用年月日	enable year month day
乘員	occupant
市旗圖像	city ​​flag image
立国日期	date of founding
終點	end
州名	state name
制作统筹	production coordinator
逝世年	year of death
集團同類頻道	Group similar channels
其他首腦二	Other Heads II
现役军人数年份	Years of active duty
国家名称	Country Name
经分	Merit
成员合影	Group photo of members
月台配置	Platform configuration
吉尼係數年份	Gini coefficient year
人口年份	Population Year
级别	level
無線電視頻道數	number of radio channels
總監	Director
車站構造	Station structure
國旗歌名稱	flag song name
系列數	Number of series
作畫	painting
绰号	nickname
氏族	clan
湖岸線長度	shoreline length
徒弟與學生	apprentices and students
签名	sign
6下一節目	6 next show
收視率	Ratings
總面積	The total area
旁白	narration
继母	stepmom
組織形式	Organizational form
現任成員	current member
家紋	family crest
路線簡稱	route abbreviation
祖籍	ancestral home
海外推出日期	Overseas launch date
人口密度	Population density
类型	type
居處	residence
支廳	Branch Office
1min winds	1min winds
友好城市	sister city
爬升率	rate of climb
人均國內生產總值購買力平價數據	GDP per capita PPP data
電壓	Voltage
车站名称	station name
本姓	Surname
人均国民生产总值	GDP per capita
身份	identity
母校	alma mater
軍歴	military
人均國内生產總值购买力平價數據排名	GDP per capita PPP data ranking
有線電視頻道數	number of cable channels
第一屆總選舉排名	Ranking of the first general election
地图档名	map file name
占全国面积	Covering the national area
1st ranking date	1st ranking date
國内生產總值數據	GDP data
表格寬度	table width
6節目名稱	6 Program name
解散	dissolve
視力	vision
幕府	Shogunate
政黨	political party
播放電視台	broadcast TV
图片介绍	Photo explanation
逝世日期	date of death
主要作品	main works
東北	northeast
戰役	battle
前首相名	former prime minister
功能	Function
职工	staff
车站名称拼音	Station name pinyin
上映日	release date
生產總值	gross product
御稱號	Royal title
车站等级	station class
知名原因	well-known reason
首都	capital
2pp	2pp
官网	Official website
都會區人口	Metro area population
特长	Specialty
现任其他领袖名字一	Names of other current leaders
集團其他頻道	Group other channels
全程时间	full time
人均國內生產總值數據排名	GDP per capita data ranking
版權資訊	Copyright information
嫡女	direct daughter
漢語拼音	Chinese Pinyin
气候类型	climate type
政府代表職稱	Government representative title
總人口	Total population
电话	Telephone
次代	next generation
前代	previous generation
異母姊妹	step sister
知名作品	well-known works
其他出版社	other publishers
遊戲類型	game type
高清翡翠台播出時間	HD Emerald TV broadcast time
月球轨道周期	lunar orbital period
童名	Child's name
党员数目	number of party members
出生地点	Birth place
推力	thrust
連載雜誌	Serial magazine
人類發展指數年份	Human Development Index Year
產量	Yield
口号	slogan
国家代码	country code
东汉	Eastern Han Dynasty
統治	rule
照片	photo
播放處	Playing place
屆數	Number of sessions
机构名称	institution name
年季	season
去世地点	place of death
放送局	Broadcasting Bureau
市徽图	City emblem
外景	exterior
民国	Republic of China
每集长度	length of each episode
連續劇	serial
台简	Taiwan Jane
面積排名	area ranking
系所數	number of coefficients
国内生产总值购买力平价估计年份	Year of GDP PPP estimate
實用升限	Practical ceiling
定位	position
面积年	area year
国际电话区号	International telephone area code
來澳洲的原因	Reason for coming to Australia
出版商	Publisher
首飛	first flight
湖泊照片	lake photo
次首相名	Second Prime Minister's name
延平王代數	Yanping King Algebra
執行制片	executive producer
庶姊妹	Concubine sister
签名大小	Signature size
國家外文語言	National foreign language
根據地	base
政治立场	political standpoint
时区名称	time zone name
none 上一節目	none previous show
嗣子	heir
眾議院議席	House of Representatives seats
图片尺寸	size of the picture
客运段	Passenger section
主要节日	major festivals
政府首脳官職	government chief
伴侶	companion
发射	emission
校园位置	Campus Location
英文名	English name
任期终	end of term
寬頻電視頻道數	Number of Broadband TV Channels
经纪公司	agency
出生名	birth name
圖片	picture
文学运动	literary movement
側妃	Side concubine
博士	PhD
電話	Telephone
城市名稱	city ​​name
开行	open
坐标	coordinate
象徵指揮官	symbol commander
县级行政区	county-level administrative region
舞台剧	stage show
藝名	stage name
繼妃	Step Concubine
机构	mechanism
內部單位	internal unit
人员链接	Staff link
远地点	Apogee
選拔次數	Selection times
人口全国百分比	National percentage of population
宮號	Palace number
事件	event
其他首腦職稱三	Other head titles three
内功	internal strength
生月	birth month
年号	year number
其他	other
生地	birthplace
名詞	noun
貨幣單位	Currency Unit
none 總共獲各類獎項	none won a total of various awards
キャラクター名設定	キャラクター name setting
美術設定	art setting
開始日	start date
导演	director
注册资金	registered capital
隊慶	team celebration
9節目名稱	9 Program name
元配	Yuan match
隶属	affiliation
主要领域	main areas
佩章一	Badge one
1up ds	1up ds
时區	Time zone
圖片說明	illustrate
藏语	Tibetan language
國內生產總值年份	GDP year
当代	contemporary
世系	lineage
部門標誌名稱	Department logo name
三圍	measurements
中央銀行	central bank
上映日期	release date
背景顏色	background color
銷售數量	Sales volume
開業年月日	Date of opening
編號	Numbering
首長職銜	Chief title
建立時間	Build time
平假名	Hiragana
副人物設定	Sub-character settings
登基	enthroned
現任行政首腦名字	Name of current executive head
国铁列车	National Railway train
基尼系数估计年份	Year of Gini Coefficient Estimate
立法首腦職稱	Head of Legislative Title
中译	Chinese translation
議會	parliament
日文單曲	Japanese single
発売日	発売日
版權	copyright
место	место
家人	family
开始	start
外文	foreign language
經紀公司	agency
宮人	Palace people
口头禅	mantra
生誕	birth
官位	official position
小名	nickname
排名	ranking
王后	queen
全画面表示モード	Full screen display モード
截至	as of
測深圖	Bathymetry
全寬備註	full width note
gdp增速	gdp growth rate
职务	job title
巡航速度	cruising speed
前屬隊伍	former team
括符	parentheses
頻道圖片尺寸	Channel art size
原作	original
途径线路	route line
标题	title
市旗	city ​​flag
總長	total length
使用乐器	use a musical instrument
地图标题	map title
语言	language
所屬公司	Affiliated company
拉丁名	Latin name
執行製片	executive producer
音乐专辑	Music album
前一站距離	previous stop distance
国家位置图片说明	Country location picture description
朝廷官位	imperial position
本貫	Honkan
貨幣代碼	currency code
现代	modern
攝影監督	photography supervision
人类发展指数	Human Development Index
大小	size
通用拼音	Universal Pinyin
代理商	agent
时代	era
人類發展指數排名	Human Development Index Ranking
角色	Role
出生日期	date of birth
同胞兄弟	siblings
中文節目名	Chinese program name
亚瑟 叔本华image caption	Arthur Schopenhauer image caption
機艙	cabin
链接	Link
1namedata	1namedata
吉尼係數等級	Gini coefficient rating
頻道官方網站	Channel official website
加入時期	Join period
3body	3body
2a	2a
說明	illustrate
機械設定	Mechanical setting
人口估计年份	Population Estimate Year
馬來西亞名稱	malaysian name
2播放檔次	2 Play grades
出版社	publishing house
站台面	platform
起站	start
官方色彩	official colors
書籍	books
任命者姓名	name of appointee
流量	flow
羅馬字	Roman letters
相關節目	Related programs
庶兄弟	concubines
作品	work
主要領域	main areas
意識形態	ideology
解散日期	date of dissolution
人類發展指數	Human Development Index
院號	Court number
中文名稱	Chinese name
妻之母	mother of wife
地球轨道倾角	Earth orbit inclination
ппп	ппп
职能	function
官方网站	Official website
国内生产总值购买力平价数据排名	GDP PPP data ranking
立國事件	founding event
教務長	Provost
月球标本质量	Mass of lunar specimen
出道日期	Debut date
水上面積百分比	Percentage of water area
издание	издание
音乐类型	type of music
行政首腦職稱	Chief Executive Title
電話號碼	phone number
總部	headquarters
儿女	children
立国事件	founding event
其他领袖二	other leaders
象徵顏色	symbolic color
國歌名稱	national anthem name
沿革链接	History link
地區	area
第三屆總選舉排名	Ranking of the third general election
国家宪法	national constitution
戰爭	war
現役軍人數年份	Years of active duty
故事	story
現任其他首腦名字三	Names of other current leaders
主页	Home
字幕	subtitle
每集长	length of each episode
设立	set up
受洗日期	date of baptism
转职业年	Turn professional year
前屬兼任隊伍	Former part-time team
效忠	allegiance
インターネット	インターネット
附屬機關	Subsidiary
全名	full name
墓地	cemetery
主要宗教	major religion
9上一節目	9 Previous show
选举标志	election sign
没年	no year
ゲームジャンル	ゲームジャンル
國家位置圖片寬度	Country location image width
云南省民族构成列表	List of ethnic groups in Yunnan Province
機炮	cannon
最初出現	appeared first
所属区	District
妻之父	father of wife
任务徽章	Mission Badge
水域率百分比	Water rate percentage
全球酒店及旅遊課程百強排行榜	Top 100 Hotel and Tourism Courses in the World
表記	notation
音響監督	sound supervision
首次頒發	first issued
2前代	2 previous generation
片頭曲	opening song
續集	sequel
其他首腦一	other head one
播放檔次	Play grade
監察首腦職稱	Supervisor title
总人口数据	total population data
行政名稱 象徵	administrative name symbol
國家名稱	Country Name
行政区码	Administrative area code
人均国内生产总值数据	GDP per capita data
现任其他领袖名字二	Names of other current leaders
邊界未定	Boundary undecided
徽章大小	badge size
元配之母	the mother of Yuan
校园	campus
臺灣都會區人口名次	Taiwan Metropolitan Area Population Rank
現任國家元首名字	The name of the current head of state
數位電視頻道數	Number of digital TV channels
状态	state
领导人职称	Leader title
副冊封使	Deputy canonical envoy
灭亡时间	death time
獎項	Awards
備註	Remark
相關稱號	Related title
1option	1option
立儲	Reserve
汽車牌號	car number
其他备注	Other remarks
紋章	coat of arms
正常起飛重量	normal takeoff weight
音樂老師	music teacher
郵政編碼	zip code
纬分	Weft points
生產總值排名	GDP ranking
粤语拼音	Cantonese Pinyin
都道府縣	prefectures
美術監督	art supervisor
人口密度数据	Population Density Data
去世日期	date of death
军衔	rank
南宋	Southern Song Dynasty
年齡	age
南北朝	Northern and Southern Dynasties
远月点	far moon point
創立	found
电视剧	TV drama
服役期间	during service
校色	school color
總導演	general director
出身地點	place of birth
在位	reign
2次首相名	2 Prime Minister's name
黨徽文件名	Party emblem file name
台灣都會區人口名次	Taiwan Metropolitan Area Population Rank
學歷	Education
公司色	company color
前身機關	predecessor agency
编审	Editing
養女	adopted daughter
前任	predecessor
服役期間	during service
墓葬	tomb
相關劇集	Related episodes
高清翡翠台播出時期	HD Emerald TV broadcast period
持拍手	clap hands
音頻格式	audio format
兵器	weapon
笔名	pen name
国内生产总值购买力平价数据	GDP PPP data
民族	nationality
研究生	postgraduate
海外推出視頻制式	Video format launched overseas
緯度	latitude
活跃时期	active period
1option color	1option color
副站名	Sub station name
5下一節目	5 Next show
墓所	tomb
研究领域	field of study
州徽圖檔	State emblem file
別名	alias
海外播出時間	Overseas broadcast time
流出	outflow
生年	year of birth
说明	illustrate
現任立法首腦名字	The name of the current head of the legislature
图片大小	size of picture
收视份额	Viewing share
任务时间	task time
人物原案	Character original case
东西	thing
政治立場	political standpoint
主演	starring
注音	Zhuyin
降落	landing
所有者	owner
監修	Supervision
法號	Law number
舰尾	stern
衛星電視頻道數	Number of satellite TV channels
新加坡名稱	singapore name
表格列数	number of table columns
其他象徵物	other symbols
现任国家元首名字	The name of the current head of state
親屬	relatives
首次於回憶中出現	first appeared in memory
职位	Position
幼名	baby name
本名	real name
所在地	location
國内生產總值购买力平价估計年份	Year of GDP PPP estimate
8節目名稱	8 Program name
人口名次	Population ranking
羅馬拼音	romanization
受影响于	affected by
相邻市镇	Neighboring towns
其他象徵	other symbols
货币名称	currency name
連載開始	Serialization starts
出道	debut
视频制式	Video format
主要連接道路	main connecting road
重點獎項	Key Awards
演奏乐器	Musical instrument
学历	Education
區劃	Division
翡翠台首播日期	Jade Channel Premiere Date
单打冠军头衔	singles title
國內生產總值數據	GDP data
海拔	altitude
乡级行政区	Township administrative area
统计日期	Statistics date
2下一節目	2 next show
其他代理發行	Other agency releases
即位礼	enthronement ceremony
成員	member
字號	font size
出道年代	Debut year
國內生產總值購買力平價年份	GDP PPP Year
插圖	illustration
学校名称	School Name
2ndregional cup apps	2ndregional cup apps
助理導演	Assistant Director
選區	constituency
起點站	starting point
被取代名稱	superseded name
喜愛香味	love the scent
代號	code
數據	data
8频道首播时间	Channel 8 premiere time
之后	after
发射地点	launch site
口號	slogan
活躍年代	Active age
廟号	Temple number
監督	supervise
蒙古代數	Mongolian Algebra
現任其他領袖名字三	Names of other current leaders
黨員人數	number of party members
夫之側室	husband's side room
圖片名稱	image name
货币单位	Currency Unit
翡翠台播出時期	Emerald TV broadcast period
行政區 象徵	administrative district symbol
英文劇名	English drama title
4節目名稱	4 Program name
在世	living
節目編號	program number
陸地面積	land area
精选剧集台播出时期	Featured episodes aired
緬甸名	Myanmar name
町村	Town and village
正式出道日期	Official debut date
成立	established
主题曲	theme song
話數	number of words
母親	Mother
夏時制	daylight saving time
9電視台	9 TV
现任政府首脑名字	Name of current head of government
側室	side chamber
對象年齡	target age
地址	address
州元首	head of state
總部所在	headquarters
夏時區名稱	summer time zone name
出生地	place of birth
始建时间	Build time
君主	monarch
经理	manager
岛式站台	island platform
外文名称	foreign language name
代表作	masterpiece
剪辑	clip
2blankname	2blankname
首長	Chief
性别	gender
老母	old mother
現任考試首腦名字	The name of the current examiner
所屬	belong
皇室頌歌	royal carol
圖說	illustration
插座	socket
象徵鳥	symbolic bird
高清翡翠台視頻制式	HD Jade Video Format
政治體制	political system
字号	font size
圖片説明	illustrate
出道地点	Debut location
助理編導	Assistant Director
位置图片	Location picture
樂器英文名稱	English name of musical instrument
空重	empty weight
皇子	prince
首都名稱	capital name
到发线	arrival line
现居地	current residence
画像	portrait
最大湖泊	largest lake
频道分栏数	number of channels
分裂自	split from
gdp排名	gdp ranking
电视网	TV network
代數	Algebra
導演	director
總督類別	Governor Category
樂器義大利文名稱	musical instrument italian name
朝代名称	Dynasty name
配偶或戀人	spouse or lover
市镇长	mayor
成名比賽	race to fame
省长	Governor
名諱	taboo
終了	end
其他電視台	other TV stations
4下一節目	4 next show
成為城市日期	become city date
第五屆總選舉排名	Fifth General Election Ranking
6播放檔次	6 playback grades
製片商	producer
8播放檔次	8 playback grades
羅馬字拼音	Romaji Pinyin
寬頻電視供應商	Broadband TV Provider
旗籍	flag
外文名稱	foreign language name
部門名稱	Department name
标志	logo
夫人	lady
建立	Establish
時區	Time zone
退役	retired
车辆号牌	vehicle number plate
奖项	Awards
國內生產總值估計年份	Year of GDP estimate
2次代	2nd generation
教育程度	education level
国土面积数据	land area data
嗣女	heir
監製	Producer
编号	Numbering
試播日期	Pilot date
监制	Producer
最後於回憶中出現	Finally in memory
面积全国百分比	National percentage of area
國家象徵	national symbol
動畫製作	animation
马来文州名	Malay state name
レイティング	レイティング
原創者	original owner
国家位置图片宽度	Country location image width
配音	dubbing
立國事件日期	founding event date
戲劇作品	theatrical work
3blankname	3blankname
3shorts	3shorts
none 下一節目	none next show
和風諡號	Japanese posthumous title
水域百分比	water percentage
湖泊所在地	lake location
知名于	known in
祠堂	ancestral hall
图片介紹	Photo explanation
制作年份	year of production
所屬部門	Department
总冠军	champion
成员	member
罗马拼音	romanization
爪夷文州名	Jawi state name
专业	specialized
神號	God
国家外文语言	National foreign language
獲獎	Award
作画	painting
時期	period
位號	Tag number
收視份額	Viewing share
董事會主持者頭銜	Board Chair Title
2当代	2 Contemporary
出身地	place of birth
最高點	highest point
持股者	Shareholders
陆简	Lu Jian
佔全國面積	Covering the national area
格言 注释	Motto Notes
现单打排名	Current Singles Ranking
前次任务	previous mission
4播放檔次	4 Play grades
别名	alias
職業	Profession
早于	Earlier than
год	год
國內生產總值購買力平價估計年份	Year of GDP PPP estimate
最高職務	top job
使用状态	status of use
當地語言名稱	local language name
可收視地區	Viewable area
副首長姓名三	Deputy Chief's Name Three
國際組織	International organizations
其他艺名	other stage names
脇王子	Prince Waki
网址	URL
兼任隊伍	part-time team
8電視台	8 TV
灭亡君主	perish monarch
總人口年份	Year of the total population
剧种	drama
圖像說明	image description
