観測所	observatory
放送対象地域	Broadcast target area
終了年	end year
開業	Opening of business
マシン	machine
女性適齢総数	Total number of suitable age for women
カタカナ	Katakana
収益	Earnings
搭載機器名称	Installed device name
本社	main office
gdp統計年元	gdp statistics year old
最高行政執行者所属党派	Supreme Executive Affiliated Party
オートモード	auto mode
当選者名	Winner name
一次資料	primary source
子会社	subsidiary
面積測定時期	Area measurement timing
政府名	government name
人物名	person name
系列	series
アイコン	icon
クラス優勝	class win
メッセージスキップ	message skip
誕生日	birthday
敵対者	adversary
所属事業者	Affiliated company
元パートナー	ex-partner
在位期間	period of reign
施行日	Enforcement date
現状	status quo
社色	company color
都市圏面積 平方マイル	metropolitan area square miles
面積順位	Area ranking
社員数	number of employees
成功数	number of successes
参加国 地域数	Participating countries Number of regions
隣の駅	next station
総面積 平方キロ	Total area square kilometer
死去年	death last year
2装甲	2 armor
コンテンツ	content
標高ft	altitude ft
業種	Industry
元首	head of state
当選者得票数	Number of elected votes
回数	number of times
バスト	bust
過去の所属リーグ	past league
副大統領職名	Vice President Title
首相等年代終	end of prime minister
母校	alma mater
司教	bishop
公用語	Official terminology
活動期間	Activity period
所属政党	political party
過去の所属レベル	past membership level
7節目調	7th knot tone
7放送枠	7 broadcast slots
職務代行者氏名	Name of agent
その他職歴	Other work history
学長	President
スカパー 閉局日	SKY PerfecTV closing date
pib per cápita	pib per capita
日本名	Japan name
優勝	win
特別衛星放送	special satellite broadcasting
当選者得票率	Winner vote percentage
コントロール	Control
創設者	Founder
下位区分種類	subdivision type
流域面積	basin area
地図ラベル	map label
département	departure
レイアウト画像	layout image
地質時代	geological age
満文	Full sentence
特性	Characteristic
特別開局日	Special opening day
参照方法	Reference method
議員数	number of members
全長	full length
設計統括	design manager
リングネーム	ring name
進化前	before evolution
建国時期	Founding period
機関紙	bulletin
過去の所属チーム	
議員集計年月日	Assembly member tally date
アナログ放送	analog broadcasting
君主号	monarch number
代表作	Masterpiece
裁判年月日	Judgment date
上映時間	screening time
subdivisiónタイプ	subdivision type
初出場	first appearance
放送チャンネル番号	broadcast channel number
1a	1a
sd年	sd year
最大差敗戦試合開催月日	Maximum loss match date
gdp値	gdp value
2在任期間	2 tenure
オリンピック最高成績	Best Olympic result
4番組名	4 program name
fifa加盟	join fifa
中継局	relay station
軌道周期	orbital period
ゼネラルマネージャー	general manager
クラブ成績更新日	Club update date
隣接自治体 行政区	Neighboring municipality Administrative district
容量	capacity
地方	region
通算獲得ポイント	total points earned
平均水深	Average depth
段数	Number of steps
路線名	Route name
総面積 平方マイル	total area square miles
解散	dissolution
滑走路 長さm	runway length m
ネック	neck
配給	distribution
乗入路線数	Number of train lines
廃止理由	Reason for abolition
県旗	prefectural flag
車名補	supplementary car name
特別開局月	Special opening month
4落選者名	4 names of losers
リーグ チャンピオンシップ年度	League Championship Year
開始日	start date
首長	Chief
離心率	Eccentricity
aクラス	a class
路線色	route color
死亡日	date of death
3枚目画像の説明	Description of the third image
亜綱	subclass
県議会議席数	Number of prefectural assembly seats
キャンパス	campus
unité urbaine	unite urbaine
企画	plan
国籍	Country of Citizenship
gdp元追記	gdp original append
2頭頂高	2 head height
埋葬日	burial date
国旗説明	flag explanation
当日有権者数	number of voters on that day
滑走路 ils	runway ils
司祭	priest
選出年	Elected year
営業利益	Operating income
3名称	3 name
得票数	number of votes
和暦在位期間	Japanese calendar reign
大喪儀	big funeral
親戚	relatives
英文	English
前回受賞作	Last award-winning work
音楽フォーマット	music format
ゴールデングローブ賞	golden globe awards
チームカラー	team color
著者	author
最大都市	largest city
正式名称	Formal name
4落選者比例重複	4 loser proportional overlap
閉場	closed
通信機能	Communication function
初の国際試合スコア	First International Match Score
responsabilité	response
プレジデンツトロフィー	presidents trophy
先旗	first flag
未検証	unverified
銃身長	gun length
評語	critique
特記事項	Remarks
落選者新旧別	Unsuccessful candidates old and new
下部組織概要	Subordinate organization overview
直径	diameter
子供	child
2次番組備考	Second program notes
構造形式	Structural form
居住地区数	Number of residential districts
原語表記	Original language notation
参議院	House of Councilors
プレーオフ回数	number of playoffs
肖像サイズ	portrait size
韓国における漢字	Chinese characters in Korea
変遷年月日	Transition date
下位分類名	subclass name
本名和名	Real name Japanese name
3落選者名	3 names of losers
曲名	song title
ストキング	Stocking
幕内戦歴	Makuuchi history
背景色	Background color
sdスコア	sd score
世襲の有無	Presence or absence of heredity
fs年	fs year
区章	Ward emblem
方言	dialect
生涯戦歴	lifetime war record
2型式番号	2 model number
収容人数	Seating capacity
谥号	acknowledgment
ダグアウト	dugout
モットー	motto
受賞	Award
4次首相名	4th prime minister name
国旗画像	flag picture
国際大会出場回数	International Tournament Appearances
改名	rename
地方行政区分名	Local administrative division name
表彰台回数	Number of podiums
緯度秒	latitude second
ゴール数	number of goals
5放送局	5 broadcasting stations
タイプ	type
市街地面積 平方マイル	city ​​area square miles
ガリシア語率	Galician rate
総延長距離	total extension distance
出場チーム数	Number of participating teams
装弾数	ammunition capacity
目的地	Destination
成績更新日	Grade update date
gdp値元	gdp value source
最大水深	Maximum depth
市街地人口	urban area population
画像のサイズ	image size
ちかい	close
spスコア	sp score
表スタイル	table style
県議会議長	Prefectural Assembly Chairman
gdp順位mer	gdp ranking mer
面積数値	Area value
設置場所	Installation location
構造設計者	Structural designer
欧州議会議席数	Number of seats in the European Parliament
本社所在地	Head office location
現在の自治体	Current municipality
アルファベット表記	alphabetical notation
フェンスの高さ	fence height
完成年	Completion year
6落選者得票数	6 number of votes lost
5放送枠	5 broadcast slots
他の活動	other activities
上部組織	Upper organization
下院代表職名	House representative title
区長	head of a ward
延長	Extension
州旗	state flag
紋章要約	coat of arms summary
利き足	Dominant foot
透明度	Transparency
シリーズディレクター	series director
生息図キャプション	habitat map caption
誌名略称	Journal name abbreviation
前大会	previous tournament
国名	Country name
大学設置年	University establishment year
興行収入	performance income
巻数	number of turns
g第 シャツ	gth shirt
出場 得点	Participation Score
起点駅	starting station
会計年度	fiscal year
国花	national flower
輸送人員	number of passengers
アジアシリーズ優勝	Asia Series Winner
開局日	Opening date
離任	resignation
プレーオフ 回数	number of playoffs
運営	operation
5落選者名	5 names of losers
ラテン文字	latin letters
紋章の説明	coat of arms description
発音	pronunciation
今年度順位	This year's ranking
ボディタイプ	body type
3落選者年齢	3 Age of unsuccessful candidates
起工	groundbreaking
población	poblacion
他言語表記	Other language notation
主要聖地	main sacred place
備考全幅	Remarks Width
物理的特長	Physical features
加入日	joining date
最終階級	final class
補佐官職名	aide title
2前番組	2 previous program
総重量	Gross weight
3落選者得票率	3 Lost vote rate
日程	schedule
脚本	screenplay
封切日	Release date
面積値	Area value
名称	name
ヒップ	hip
平仮名表記	Hiragana notation
主な楽曲	main song
地区	district
指揮	Command
必要環境	Required environment
2前代	2 previous generation
総距離	total distance
主催	organizer
監督年	year of supervision
主要部門	Main department
最大差勝利試合スコア	Max Difference Winning Match Score
中心都市	central city
現職氏名	Incumbent name
選手	player
独立教会名 自治教会名ほか教会組織名	Independent church name Autonomous church name and other church organization name
勲等	Order of Merit
2落選者得票数	2Number of votes lost
2放送局	2 broadcasting stations
4落選者所属	4 Unsuccessful affiliation
3搭乗者	3 passengers
支流	tributaries
後裔	descendants
página web	pagina web
ユースクラブ	youth club
没年月日	date of death
スカパー 閉局年	SKY PerfecTV closed year
画像ファイル名	image file name
チーム名の変遷	Change of team name
参謀長	chief of staff
議院代表氏名	Representative name of the House of Representatives
製作費	Production cost
2番組名備考	2 program name remarks
閉局年	Closed year
発行部数調査年月	Circulation survey date
路線記号	route symbol
最大差勝利試合対戦相手	Biggest Winning Match Opponent
出走回数	Number of starts
市長	Mayor
2全長	2 total length
アニメーション制作	Animation production
都市数	number of cities
誕生場所	place of birth
党員 党友数	number of party members
主な出演作	Main appearance
所属チーム	team
保有機材数	Number of owned aircraft
カンファレンス	conference
州花	state flower
他元首等氏名	Name of other head of state
ワイルドカード年度	Wildcard year
チーム名	team name
総人口特記事項	Total Population Remarks
成立年月日	Established date
6前番組	6 previous program
湖沼型	Lake type
補佐官氏名	Aide's name
首相等肩書	prime minister title
経度	longitude
低軌道	low earth orbit
地図名	map name
アジアシリーズ出場	Asia Series participation
記念競輪名称	Commemorative bicycle race name
公式名称	official name
ホイールベース	Wheelbase
与党	ruling party
gentilé	Gentile
駅等級	station class
比例順位	proportional rank
現地語県名	Local language prefecture name
駆動方式	Drive system
シンボル	symbol
都市圏面積 平方キロ	metropolitan area square kilometer
最多優勝	most wins
下院	House of Commons
他出版社	Other publisher
開館月	Opening month
県都	prefectural capital
レコード樹立年	Record year
放送枠	Broadcast slot
3a	3a
亜目	Suborder
6番組名	6 program name
全米映画批評家協会賞	National Society of Film Critics Award
2pf名称	2pf name
人元	person
none テストドライバー	none test driver
放送分	Broadcast minutes
搭乗者	passenger
設立年月日	Date of establishment
2名称	2 name
生年	year of birth
枠幅	frame width
学歴	educational background
サイト名	Site name
首相種別	Prime Minister type
住民の呼称	Name of residents
所属党派	party affiliation
画像	image
再編成	reorganization
レーサー	racer
キャリア	career
副大統領	Vice President
3body	3body
繁体字	Traditional Chinese
カタカナ表記	Katakana notation
スカパー 閉局月	SKY PerfecTV
英称 別称	English name
国旗	national flag
元首等肩書	head of state title
下院議員定数	House of Representatives Quota
断絶	break
2枚目画像名	2nd image name
ディスク径	disc diameter
原動機関	prime mover
連邦下院議員	federal congressman
f副シャツ	f vice shirt
即位礼	enthronement ceremony
活動内容	Activity content
歴代	successive generations
爵位	rank
画像幅	image width
役職	Position
起源	origin
最終出場	Final appearance
7落選者得票率	7 Lost vote rate
総延長	total length
標高 フィート	elevation feet
国歌名	national anthem name
職名	job title
キャラクターボイス	character voice
bクラス回数	b class times
運営事業者	Operator
特別事業者	special business operator
1日利用者数	Number of users per day
影響を与えた人物	influencer
人口	population
歴史	history
得点者	scorer
ニューヨーク映画批評家協会賞	New York Film Critics Association Award
会長	Chairman
崩御	demise
画像ファイル	Image file
詳細住所	detailed address
上院代表氏名	Senate representative name
最終勝利	final victory
漢名	Chinese name
hd開始日	hd start date
水面積率	water area ratio
落選者比例重複	Unsuccessful Proportional Duplication
重さ	weight
肩書き	Title
車名	car name
後任者	a successor
2y	2 years
国旗リンク	flag link
cd年	cd year
王朝	dynasty
成因	Origin
計画の期間	period of planning
特別閉局年	Special closing year
州首相氏名	Premier name
加入順	Join order
生月	birth month
ラウンジ	lounge
サーキット画像	circuit image
言語コード	language code
région	region
3型式番号	3 model number
開局月	Opening month
漢字	Chinese characters
ボール	ball
ペグヘッド角度	peg head angle
周囲長	Circumference
コード	code
市章幅	City emblem width
時代	age
ディレクtv閉局月	direct tv closing month
面積項目	area item
2落選者年齢	2 Age of the loser
初土俵	first ring
生誕	birth
población post	población post
読み	reading
管理運営	Management and operation
閉局日	closed day
分家	branch family
下綱	Shimotsune
8落選者名	8 name of loser
陵所	mausoleum
準州木	Territory tree
幼称	childhood name
英語名	English name
作画	drawing
元コーチ	former coach
先代	predecessor
2次首相名	second prime minister name
7前番組	7 previous program
開催地数	Number of venues
none デビュー戦	none Debut match
運用機関	Asset manager
乗車人員	number of passengers
範囲	range
首長種別	chief type
3当代	3 contemporary
出身	where one is from
ロゴサイズ	logo size
母親	mother
座標地域	coordinate area
上院議員	senator
対応機種	Compatible models
誕生	birth
prénom	prénom
クラブ	club
没月	dying moon
別号	another name
面積追記	Postscript area
チームロゴ画像	team logo image
鳥など	birds etc.
資本金	capital
gdp統計年mer	gdp statistics year mer
8落選者所属	8 unsuccessful affiliation
代表年	Representative year
読み込み速度	loading speed
現役自衛官数	Active duty SDF personnel
人員	personnel
最大勾配	maximum slope
ゲームジャンル	game genre
設置者	Installer
市旗幅	city ​​flag width
選択式装備	optional equipment
hd開始年	hd start year
恋人	lover
選手宣誓	player oath
裁判要旨	summary of the trial
レイティング	Rating
セーブファイル数	number of save files
ペグ	Pegs
都市名	Name of a city
補足	supplement
完成月	Completion month
3p	threesome
車種	car model
サーキット名	circuit name
w杯初出場年	World Cup debut year
年間予算	annual budget
起点	starting point
最終投票率	final voter turnout
女性実務総数	Total number of female practitioners
注記	Notes
3次首相名	3rd prime minister name
写真サイズ	photo size
アイドル名	idol name
説明	explanation
政策委員会責任者氏名	Name of Policy Board Officer
初の国際試合開催年	Year of first international match
準州首相	territorial prime minister
プロジェクト	project
7落選者年齢	7 Unsuccessful age
運転時隔	driving interval
フランチャイズの遍歴	Franchise history
下位行政区画	subdivision
経済地区	economic district
県章	Prefectural emblem
3節目題目	3rd Section Title
現在のチーム名	current team name
電化区間	electrified section
開発 発売元	Development Publisher
最大差勝利試合開催年	Biggest win year
親署	parent signature
位置図サイズ指定	Location map size specification
ホーム	home
議院名	House name
位置図の見出し	Location map heading
皇配	consort
部隊	troop
判例集	collection of precedents
水系	water system
チームロゴ	team logo
都道府県章	prefecture emblem
参加チーム数	Participating teams
英称	English name
物理チャンネル	physical channel
ディビジョナル チャンピオンシップ回数	Number of Divisional Championships
その他	others
放送期間	Broadcast period
備考	remarks
上院	Senate
緯度	latitude
閉会式	Closing session
1節目題目	1st Section Title
選挙区	constituency
単一の出典	single source
指高	finger height
cctld追記	add cctld
ドラフト	draft
人口出典	population source
使用弾薬	ammunition used
チーム史	team history
グラウンド	ground
現況	current situation
落選者推薦 支持	Recommend unsuccessful candidates Support
特別ch	special channel
武装	armament
ギリシャ語名	Greek name
編集部名	Editorial department name
独語州名	German state name
性別	sex
ジャンル	genre
定員	Capacity
依頼ページ	request page
2落選者所属	2 Unsuccessful affiliation
1namedata	1 name data
保有機数	number of aircraft
学校種別	School type
地図説明	map explanation
3落選者当落	3 losers
インターネット	the internet
父親	father
発売日	Release date
各国語表記	National language notation
閉局月	Closed month
放送日	On-air date
ニックネーム	nickname
著名使用楽器	famous instrument
現職者	incumbent
初戦	First match
御名	name
創設年度	Founding year
配偶者	spouse
製造数	number of production
駐日大使館の所在地	Location of Embassy in Japan
掲載誌	Publication magazine
fdスコア	fd score
社名	company name
修繕	repair
none 人当たりgdp	none gdp per capita
前身政党	predecessor political party
2節目調	2nd knot tone
郵便番号の区分	Zip code division
作品名	work name
5落選者得票数	5 number of votes lost
発生電力	Generated power
統計年度	statistical year
オリンピック初出場	Olympic debut
市旗	city ​​flag
過去の本拠地	home of the past
肖像	portrait
現在の首座主教	Current Primate
事務所	Office
行政区画名	Administrative division name
最多収容人数	maximum capacity
半島名	peninsula name
最多得点選手	Top scorer
作動方式	Actuation method
標高 メートル	altitude meters
父母	parents
延床面積	Total floor area
最大差敗戦試合対戦相手	Largest Lost Match Opponent
政党交付金	Political party grant
dirigentes títulos	dirigentes titulos
主要子会社	Main subsidiary
6放送枠	6 broadcast slots
車番	car number
住居	residence
エンブレム	emblem
放送内容	broadcast content
終了	end
2落選者比例重複	2 loser proportional overlap
発生現場	Site of occurrence
略名	Abbreviated name
北緯度	north latitude
議会構成	parliamentary composition
緯度ns	latitude ns
2a	2a
国際大会最高成績	International tournament best results
列聖日	canonization day
クライマックスシリーズ回数	Number of climax series
スピンオフ作品	spin-off work
エントリー名	entry name
独立教会の宣言	Declaration of the Independent Church
7落選者得票数	7 number of votes lost
最大差敗戦試合	Maximum losing match
7番組名	7 program name
元首等年代終	the end of the era of the head of state
アナログ開局月	Analog opening month
開始号	starting number
最終位置	final position
自治領等	Self-governing territory, etc.
画像解説	Image commentary
none 人口大きさ	none population size
6節目題目	Section 6 title
輸送実績	Transportation performance
皇后	Empress
分類	classification
副項目名	sub-item name
議長歴代	successive chairmen
6落選者年齢	6 Age of losers
英語表記	English notation
hd開始月	hd start month
f正ストッキング	f positive stockings
称号	title
国章リンク	coat of arms link
目的	Purpose
国歌	national anthem
画面サイズ	Screen size
月日	time
ソートキー	sort key
対象国	Target country
得票率	percentage of votes
出身地	Birthplace
互換ハード	compatible hardware
4前首相名	4 former Prime Minister's name
3落選者比例重複	3 loser proportionate duplication
銀行	Bank
全長滑走路	full length runway
カラー	Color
定数	constant
空欄記載	Fill in the blank
ダンススコア	dance score
3特能装備	3 special equipment
特能装備	special equipment
情報年度	information year
好きなもの	Favorite things
人口に関する備考	Notes on Population
趣味	hobby
垂直飛び	vertical jump
後任	successor
最後の当主	the last head
焦点都市	focal city
詳細	detail
党首職名	Party leader title
レベル	level
fsスコア	fs score
他元首等肩書	Other titles such as heads of state
原作	original
シリーズ優勝回数	Series wins
作品	the work
g正シャツ	g positive shirt
発行部数	Circulation
子女	children
空欄表題	blank title
市街地人口密度 平方キロ	Urban area population density square kilometer
3在任期間	3 tenure
シリーズ出場回数	Series Appearances
寄託者	Depositor
主な作品	Main works
市街地面積 平方キロ	square kilometer
2当代	2 contemporary
副項目	sub-item
人口追記	Population postscript
チーム本拠地	home of the team
収録時間	Duration
タイトル	title
次席閣僚職名	Deputy Cabinet Minister Title
本店所在地郵便番号	Head office location postal code
搭載機器説明	Installed equipment description
本名	real name
最大の地域	largest area
5節目題目	Section 5 title
路線数	Number of routes
通称	common name
セーブファイル容量	Save file capacity
銃口初速	muzzle velocity
フレット数	number of frets
イラスト	An illustration
ローマ字mr	romaji mr
コーチ	coach
生死	life and death
戦闘	fight
兵役適齢	military age
初代就任者	first incumbent
capital denominación	capital denominación
最大照尺距離	Maximum sight distance
創設年	Founding year
亜種	Subspecies
射場	shooting range
地方人口率	Rural population rate
共同作業者	collaborators
4次番組	4th program
特別閉局月	Special closing month
読者対象	Target audience
続柄	relationship
関係する人物	person involved
構成体種別	Construct type
存命人物の出典明記	Citation of living person
開催日	event date
次旗	next flag
1作目	1st work
前回年度	last year
著名な実績	notable achievements
滑走路 表面	runway surface
人口密度 平方マイル当たり	population density per square mile
次回大会	Next tournament
公式サイト	Official site
職務代行者役職	Job title
前回選挙	last election
出生地	Place of birth
前回比	Compared to last time
用途	Usage
7落選者新旧別	7 Unsuccessful candidates old and new
廃止	abolition
país	país
没年	year of death
7節目題目	Section 7 title
最高行政執行者名	Chief executive name
紋章説明	coat of arms explanation
2番組名	2 program name
紋章	coat of arms
駅種別	Station type
放送国	broadcasting country
レコードタイム	record time
代表	representative
アナログ事業者	Analog operator
3前番組	3 previous program
当選回数	Winning times
ユース年	youth year
生誕日	birthday
市場情報	Market information
次代	next generation
英名	English name
東経度	east longitude
連盟数	number of federations
区分	Division
次番組	next show
アナログch	analog channels
カテゴリー	Category
協定世界時との時差	Time difference from Coordinated Universal Time
駅間a	between stations a
合計スコア	total score
2blankname	2blankname
兄弟	Brother
番組名備考	Program name remarks
駐車場	parking
職業	Profession
本店所在地	Head office location
スカパー	SKY PerfecTV
生没	birth and death
派生組織	derived organization
チーム名の遍歴	Team name history
opテーマ	op theme
言語	language
後継政党	successor party
ドライバーズタイトル	drivers title
脚注	footnote
生日	birthday
従業員数	number of employees
所属チーム名	Affiliation team name
根拠地	base
オンラインサービス	online service
種別	kinds
最高点	highscore
パンツ	Pants
ウェブ	web
開業年月日	Opening date
紋章サイズ	coat of arms size
郵便番号	post code
元首等氏名	Name of head of state
選出方法	Election method
親族 政治家	Relatives Politicians
継承形式	Inheritance form
就任	Inauguration
陸上面積 平方マイル	square miles of land
貸出金残高	loan balance
gdp統計年	gdp statistical year
日本アカデミー賞	Japan Academy Award
生年月日	Date of birth
追号勅定年月日	Posthumous Imperial Retirement Date
自治体数	number of municipalities
監督	directed by
odスコア	od score
上院議員定数	senator quota
利き腕	Dominant arm
前番組	previous program
総質量	total mass
swiftコード	swift code
プレイ人数	Number of players
経常利益	Ordinary income
左袖	left sleeve
1y	1 year
旧メンバー	old member
前首相名	Former prime minister name
四股名	shikona
ディレクtv事業者	directive tv operators
軍事費	military expenditure
前回大会	last tournament
フロントピックアップ	front pickup
原案	draft
作成日時	creation date
画像の説明	image description
通用	common
門階級なし	no rank
郵便	Post
外部リンク名	external link name
退任理由	Reason for leaving
選挙制度	electoral system
1pp	1pp
賞罰	reward and punishment
ヴェネツィア国際映画祭	Venice International Film Festival
学部	Faculty
前任者	Predecessor
メーカー	Manufacturer
使用武器	Weapon used
水面面積 平方キロ	square kilometer of water surface area
2搭乗者	2 passengers
fifaコード	fifa code
放送局名	Broadcasting station name
除隊後	After discharge
竣工	Completion
4次代	4th generation
埋葬地	burial place
緯度分	latitude
成果	Outcome
別名	alias
都道府県旗	prefecture flag
監督チーム	coaching team
議院	House of Representatives
州木	state tree
制作	Production
施行者	Enforcer
国防大臣	Minister of Defense
要改訳	Translation required
退任日	Retirement date
軌道要素	orbital element
位置	position
2pp	2pp
入幕	advancing to the first grade
アナログ閉局月	Analog closed month
準州旗	territorial flag
平均標高	average elevation
3番組名	3 program name
英国アカデミー賞	british academy awards
戒名	posthumous name
格付	rating
f正パンツ	f positive pants
デジ中継局	digital relay station
代表者	representative
元号	Era name
戦功	military exploits
取り壊し	demolition
フルネーム	full name
政体	government
質量	mass
命名年月日	Naming date
カンファレンス チャンピオンシップ回数	Number of conference championships
日本語名称	Japanese name
接続する主な道路	Main connecting road
関連組織	Related organization
審判宣誓	referee oath
注釈	Annotation
最大差敗戦試合スコア	Maximum Loss Match Score
守護聖人	patron saint
設計者	Designer
1option name	1option name
法人名	Corporate name
生息図	Habitat diagram
モデル名	Model name
位置図	Location map
順位数	number of ranks
主なイベント	Main event
トランスミッション	transmission
駅番号	station number
軌道	trajectory
テールピース	tail piece
多数意見	majority opinion
首相等年代始	prime minister, etc.
ラテン字	latin letters
開場	Opening
言葉を濁さない	don't muddy your words
皇居	Imperial Palace
徴兵制度	conscription
cdスコア	cd score
現職就任日	Inauguration date
路線図	route map
勤務先	workplace
定価	List price
日韓クラブチャンピオンシップ出場回数	Japan-Korea club championship appearances
プロデューサー	producer
静止移行軌道	geostationary transfer orbit
3総重量	3 gross weight
期間	period
没日	sunset
型式番号	model number
最大差敗戦自愛	maximum defeat
コントローラ	controller
ディレクtvch	direct tvch
署名	signature
民族名	Ethnic name
廃止詳細	Obsolete details
刊行頻度	publication frequency
設置年月日	Installation date
事件名	case name
出生日	date of birth
アナログ閉局年	Analog closed year
準州花	Territory Flower
周回対象	Orbit target
追号	postscript
上綱	upper rope
ウエブ	web
población año	poblacion anno
東経秒	east longitude second
水面面積 平方マイル	square miles of water
最高位	highest rank
f副ストッキング	f vice stockings
主な受賞歴	Awards received
ディビジョン	Division
階数	number of floors
3次代	3rd generation
グラミー賞	grammy awards
発売元	Selling agency
下院議員集計年月日	House of Representatives Tally Date
2原動機関	2 engine
キャラクターデザイン	Character Design
元首職	head of state
副題	subtitle
画像名	image name
g正パンツ	g positive pants
両親	parents
1枚目画像名	1st image name
売上台数	Sales volume
英文社名	English company name
議長氏名	Chairman's name
ブースター	booster
開始年	Start year
